101;82;23;5;9
102;406;26;2;2,9
103;244;61;1;41
104;298;65;5;41
105;406;38;2;6,19,26
106;263;21;5;1,4,18
107;97;68;3;44,49
108;262;12;1;4,5,6
109;195;18;2;6,8,12
110;216;38;4;
111;160;61;2;32,52
112;435;64;4;
113;375;30;4;
114;30;51;5;7,21,44
115;394;26;2;3
116;482;58;1;43
117;396;23;4;21
118;224;14;4;6
119;176;46;5;2
120;419;19;5;17
121;28;17;5;6,9,12
122;419;10;3;3,8
123;476;12;4;7
124;32;56;5;
125;446;51;4;41,43
126;106;69;2;
127;244;19;4;2,4,18
128;377;23;5;
129;468;58;3;6,21,26
130;431;15;5;4,5
131;172;21;2;3,8
132;210;23;2;
133;25;32;1;6,19
134;288;53;4;30,35,37
135;487;36;5;30,32,33
136;197;11;5;3,4
137;167;12;5;2
138;474;10;2;
139;268;54;5;19,43
140;476;12;2;2,9
141;144;32;1;7,16
142;305;46;4;21,29
143;282;49;2;15
144;477;33;5;14,18
145;498;50;5;4,47
146;199;48;4;
147;402;25;1;18,22
148;126;28;2;
149;413;39;4;
150;296;61;4;38
151;259;29;4;22
152;233;36;4;5,31
153;302;50;3;
154;460;63;4;32,44
155;10;59;4;
156;42;58;2;15,42,55
157;474;53;5;30,51
158;466;39;4;37
159;253;70;1;
160;472;14;3;7
161;478;14;2;9
162;164;19;4;
163;209;33;4;1,4,22
164;232;29;4;5
165;472;36;1;
166;456;39;2;17,26
167;337;26;4;4,17,23
168;369;69;2;48,55
169;26;40;1;18
170;330;24;5;
171;211;56;5;12,23,28
172;13;13;4;6,9
173;7;69;2;13
174;16;10;3;5
175;4;27;5;
176;260;70;2;61
177;237;45;2;6,18,41
178;369;29;4;21
179;134;13;4;3,4
180;220;45;2;17
181;162;12;3;2,4,11
182;128;26;5;
183;29;31;1;20,22
184;353;51;4;
185;85;21;2;2,8,9
186;272;29;2;26
187;324;23;5;8
188;368;66;1;20
189;358;41;1;12,21,37
190;100;44;5;
191;336;29;5;18
192;183;67;2;
193;457;69;2;4,34
194;81;39;4;8,29
195;3;40;4;
196;364;15;2;4
197;354;46;2;5,44
198;129;35;5;7,21
199;211;40;4;
200;486;43;5;
201;356;60;2;
202;2;38;1;23
203;11;48;3;13,36,40
204;213;32;4;8,13
205;83;47;3;34,41
206;433;52;3;9,11,49
207;177;41;1;24
208;249;17;2;3,12
